supplier_name,source_port,destination_port,distance_km,expected_transit_days
Energy Ltd 95,Singapore Port,Santos Port,15086,37
Energy Ltd 53,Dubai Port,Singapore Port,12957,32
Energy Ltd 72,Singapore Port,Dubai Port,8092,20
Energy Ltd 89,Houston Port,Rotterdam Port,3722,9
Energy Ltd 40,Houston Port,Shanghai Port,12114,30
Energy Ltd 99,Dubai Port,Mumbai Port,12421,31
Energy Ltd 44,Jeddah Port,Shanghai Port,2454,6
Energy Ltd 23,Singapore Port,Rotterdam Port,12573,31
Energy Ltd 87,Santos Port,Singapore Port,2665,6
Energy Ltd 83,Rotterdam Port,Houston Port,6591,16
Energy Ltd 81,Santos Port,Jeddah Port,12480,31
Energy Ltd 60,Jeddah Port,Shanghai Port,3335,8
Energy Ltd 67,Houston Port,Shanghai Port,11838,29
Energy Ltd 72,Dubai Port,Rotterdam Port,12369,30
Energy Ltd 46,Mumbai Port,Rotterdam Port,10690,26
Energy Ltd 4,Shanghai Port,Singapore Port,6938,17
Energy Ltd 74,Jeddah Port,Mumbai Port,5328,13
Energy Ltd 97,Houston Port,Jeddah Port,11805,29
Energy Ltd 91,Dubai Port,Singapore Port,15061,37
Energy Ltd 12,Santos Port,Mumbai Port,13676,34
Energy Ltd 58,Houston Port,Mumbai Port,11406,28
Energy Ltd 23,Mumbai Port,Singapore Port,2725,6
Energy Ltd 100,Singapore Port,Dubai Port,16041,40
Energy Ltd 65,Dubai Port,Santos Port,17315,43
Energy Ltd 65,Rotterdam Port,Mumbai Port,12644,31
Energy Ltd 62,Houston Port,Santos Port,12226,30
Energy Ltd 19,Mumbai Port,Santos Port,5848,14
Energy Ltd 27,Dubai Port,Houston Port,14200,35
Energy Ltd 92,Mumbai Port,Dubai Port,11690,29
Energy Ltd 6,Mumbai Port,Singapore Port,16798,41
Energy Ltd 6,Mumbai Port,Shanghai Port,11739,29
Energy Ltd 3,Houston Port,Jeddah Port,8376,20
Energy Ltd 42,Singapore Port,Mumbai Port,10890,27
Energy Ltd 36,Shanghai Port,Santos Port,15954,39
Energy Ltd 86,Mumbai Port,Singapore Port,6392,15
Energy Ltd 21,Houston Port,Dubai Port,1999,4
Energy Ltd 80,Mumbai Port,Rotterdam Port,12979,32
Energy Ltd 71,Shanghai Port,Rotterdam Port,6138,15
Energy Ltd 91,Houston Port,Shanghai Port,9522,23
Energy Ltd 22,Mumbai Port,Singapore Port,12599,31
Energy Ltd 70,Santos Port,Dubai Port,5762,14
Energy Ltd 4,Santos Port,Shanghai Port,3153,7
Energy Ltd 14,Jeddah Port,Dubai Port,4321,10
Energy Ltd 55,Jeddah Port,Mumbai Port,16109,40
Energy Ltd 79,Shanghai Port,Rotterdam Port,12389,30
Energy Ltd 26,Mumbai Port,Santos Port,16759,41
Energy Ltd 73,Rotterdam Port,Dubai Port,16844,42
Energy Ltd 13,Santos Port,Rotterdam Port,16750,41
Energy Ltd 61,Singapore Port,Mumbai Port,6209,15
Energy Ltd 79,Houston Port,Rotterdam Port,14347,35
Energy Ltd 24,Shanghai Port,Santos Port,12141,30
Energy Ltd 59,Santos Port,Dubai Port,3641,9
Energy Ltd 61,Mumbai Port,Singapore Port,17184,42
Energy Ltd 60,Rotterdam Port,Singapore Port,12923,32
Energy Ltd 78,Rotterdam Port,Shanghai Port,4872,12
Energy Ltd 52,Mumbai Port,Singapore Port,3824,9
Energy Ltd 39,Santos Port,Singapore Port,15047,37
Energy Ltd 31,Singapore Port,Shanghai Port,6710,16
Energy Ltd 62,Jeddah Port,Dubai Port,12664,31
Energy Ltd 27,Jeddah Port,Santos Port,15765,39
Energy Ltd 73,Shanghai Port,Houston Port,9238,23
Energy Ltd 23,Mumbai Port,Jeddah Port,17445,43
Energy Ltd 15,Santos Port,Rotterdam Port,4699,11
Energy Ltd 57,Rotterdam Port,Singapore Port,14797,36
Energy Ltd 9,Mumbai Port,Jeddah Port,13916,34
Energy Ltd 42,Santos Port,Shanghai Port,3514,8
Energy Ltd 12,Singapore Port,Santos Port,6052,15
Energy Ltd 75,Dubai Port,Santos Port,6307,15
Energy Ltd 85,Rotterdam Port,Houston Port,11051,27
Energy Ltd 50,Santos Port,Mumbai Port,8239,20
Energy Ltd 88,Shanghai Port,Rotterdam Port,11479,28
Energy Ltd 56,Shanghai Port,Dubai Port,1766,4
Energy Ltd 79,Jeddah Port,Santos Port,5679,14
Energy Ltd 38,Dubai Port,Singapore Port,3240,8
Energy Ltd 1,Shanghai Port,Dubai Port,10747,26
Energy Ltd 4,Singapore Port,Houston Port,14419,36
Energy Ltd 81,Shanghai Port,Jeddah Port,14043,35
Energy Ltd 52,Jeddah Port,Singapore Port,8421,21
Energy Ltd 85,Rotterdam Port,Houston Port,6057,15
Energy Ltd 25,Jeddah Port,Santos Port,13305,33
Energy Ltd 54,Rotterdam Port,Singapore Port,5613,14
Energy Ltd 18,Dubai Port,Mumbai Port,2014,5
Energy Ltd 19,Santos Port,Shanghai Port,15810,39
Energy Ltd 18,Mumbai Port,Rotterdam Port,15126,37
Energy Ltd 59,Jeddah Port,Houston Port,7391,18
Energy Ltd 59,Jeddah Port,Houston Port,16247,40
Energy Ltd 50,Shanghai Port,Mumbai Port,7588,18
Energy Ltd 55,Dubai Port,Shanghai Port,17823,44
Energy Ltd 94,Singapore Port,Jeddah Port,17940,44
Energy Ltd 35,Jeddah Port,Houston Port,13524,33
Energy Ltd 5,Dubai Port,Shanghai Port,17335,43
Energy Ltd 91,Shanghai Port,Dubai Port,17278,43
Energy Ltd 89,Mumbai Port,Rotterdam Port,10656,26
Energy Ltd 60,Mumbai Port,Shanghai Port,4398,10
Energy Ltd 32,Santos Port,Shanghai Port,4058,10
Energy Ltd 88,Houston Port,Shanghai Port,3229,8
Energy Ltd 44,Dubai Port,Houston Port,16377,40
Energy Ltd 66,Santos Port,Houston Port,12363,30
Energy Ltd 54,Shanghai Port,Santos Port,11154,27
Energy Ltd 38,Rotterdam Port,Dubai Port,11463,28
Energy Ltd 94,Houston Port,Dubai Port,17004,42
Energy Ltd 75,Rotterdam Port,Shanghai Port,3191,7
Energy Ltd 85,Houston Port,Santos Port,2394,5
Energy Ltd 37,Santos Port,Dubai Port,5655,14
Energy Ltd 65,Mumbai Port,Santos Port,10604,26
Energy Ltd 33,Rotterdam Port,Shanghai Port,10706,26
Energy Ltd 36,Houston Port,Dubai Port,5155,12
Energy Ltd 78,Rotterdam Port,Shanghai Port,6452,16
Energy Ltd 85,Santos Port,Rotterdam Port,7247,18
Energy Ltd 34,Singapore Port,Houston Port,7424,18
Energy Ltd 68,Dubai Port,Singapore Port,4265,10
Energy Ltd 19,Rotterdam Port,Santos Port,17751,44
Energy Ltd 97,Jeddah Port,Santos Port,14055,35
Energy Ltd 31,Santos Port,Shanghai Port,6981,17
Energy Ltd 27,Shanghai Port,Dubai Port,10163,25
Energy Ltd 97,Mumbai Port,Dubai Port,6991,17
Energy Ltd 60,Jeddah Port,Singapore Port,11375,28
Energy Ltd 61,Singapore Port,Houston Port,14281,35
Energy Ltd 61,Houston Port,Mumbai Port,15745,39
Energy Ltd 2,Houston Port,Santos Port,16206,40
Energy Ltd 49,Shanghai Port,Houston Port,2844,7
Energy Ltd 13,Shanghai Port,Santos Port,15648,39
Energy Ltd 79,Houston Port,Rotterdam Port,10358,25
Energy Ltd 35,Mumbai Port,Singapore Port,14317,35
Energy Ltd 60,Singapore Port,Jeddah Port,7887,19
Energy Ltd 67,Shanghai Port,Jeddah Port,7395,18
Energy Ltd 41,Dubai Port,Jeddah Port,1777,4
Energy Ltd 9,Dubai Port,Houston Port,4701,11
Energy Ltd 68,Mumbai Port,Jeddah Port,16112,40
Energy Ltd 45,Singapore Port,Jeddah Port,10783,26
Energy Ltd 33,Singapore Port,Dubai Port,2276,5
Energy Ltd 80,Mumbai Port,Dubai Port,8604,21
Energy Ltd 77,Mumbai Port,Jeddah Port,5431,13
Energy Ltd 12,Rotterdam Port,Houston Port,7554,18
Energy Ltd 15,Rotterdam Port,Singapore Port,11152,27
Energy Ltd 60,Mumbai Port,Jeddah Port,16358,40
Energy Ltd 36,Jeddah Port,Shanghai Port,12097,30
Energy Ltd 33,Rotterdam Port,Santos Port,3924,9
Energy Ltd 36,Dubai Port,Houston Port,14233,35
Energy Ltd 43,Dubai Port,Singapore Port,10172,25
Energy Ltd 23,Santos Port,Dubai Port,17612,44
Energy Ltd 26,Jeddah Port,Mumbai Port,17623,44
Energy Ltd 14,Rotterdam Port,Shanghai Port,15631,39
Energy Ltd 28,Mumbai Port,Houston Port,9986,24
Energy Ltd 14,Dubai Port,Mumbai Port,3807,9
Energy Ltd 74,Houston Port,Santos Port,16110,40
Energy Ltd 3,Santos Port,Mumbai Port,1528,3
Energy Ltd 5,Jeddah Port,Rotterdam Port,6467,16
Energy Ltd 90,Shanghai Port,Singapore Port,1621,4
Energy Ltd 66,Santos Port,Singapore Port,15788,39
Energy Ltd 52,Mumbai Port,Shanghai Port,8900,22
Energy Ltd 1,Jeddah Port,Shanghai Port,17296,43
Energy Ltd 16,Shanghai Port,Rotterdam Port,11423,28
Energy Ltd 52,Dubai Port,Jeddah Port,4470,11
Energy Ltd 47,Shanghai Port,Dubai Port,16561,41
Energy Ltd 98,Houston Port,Jeddah Port,8155,20
Energy Ltd 23,Dubai Port,Houston Port,7758,19
Energy Ltd 39,Jeddah Port,Dubai Port,13272,33
Energy Ltd 63,Mumbai Port,Jeddah Port,15851,39
Energy Ltd 95,Singapore Port,Mumbai Port,2669,6
Energy Ltd 25,Dubai Port,Jeddah Port,9314,23
Energy Ltd 63,Jeddah Port,Dubai Port,11583,28
Energy Ltd 64,Santos Port,Dubai Port,2713,6
Energy Ltd 44,Dubai Port,Singapore Port,2902,7
Energy Ltd 52,Mumbai Port,Rotterdam Port,16519,41
Energy Ltd 87,Rotterdam Port,Jeddah Port,9134,22
Energy Ltd 10,Dubai Port,Jeddah Port,6139,15
Energy Ltd 63,Dubai Port,Houston Port,3000,7
Energy Ltd 32,Rotterdam Port,Dubai Port,7144,17
Energy Ltd 81,Dubai Port,Singapore Port,4688,11
Energy Ltd 59,Rotterdam Port,Santos Port,3595,8
Energy Ltd 14,Mumbai Port,Houston Port,8727,21
Energy Ltd 9,Singapore Port,Houston Port,12554,31
Energy Ltd 95,Jeddah Port,Rotterdam Port,5458,13
Energy Ltd 88,Rotterdam Port,Singapore Port,8487,21
Energy Ltd 98,Dubai Port,Shanghai Port,7183,17
Energy Ltd 43,Mumbai Port,Dubai Port,10474,26
Energy Ltd 19,Jeddah Port,Mumbai Port,13621,34
Energy Ltd 71,Rotterdam Port,Houston Port,9483,23
Energy Ltd 75,Dubai Port,Rotterdam Port,4775,11
Energy Ltd 81,Jeddah Port,Santos Port,6669,16
Energy Ltd 3,Santos Port,Dubai Port,1708,4
Energy Ltd 1,Rotterdam Port,Dubai Port,10797,26
Energy Ltd 54,Santos Port,Shanghai Port,5658,14
Energy Ltd 27,Rotterdam Port,Jeddah Port,10378,25
Energy Ltd 67,Santos Port,Singapore Port,9339,23
Energy Ltd 23,Dubai Port,Shanghai Port,7398,18
Energy Ltd 92,Santos Port,Houston Port,4384,10
Energy Ltd 81,Houston Port,Rotterdam Port,15222,38
Energy Ltd 1,Singapore Port,Mumbai Port,5350,13
Energy Ltd 68,Mumbai Port,Shanghai Port,13358,33
Energy Ltd 98,Singapore Port,Houston Port,8319,20
Energy Ltd 36,Dubai Port,Rotterdam Port,5192,12
Energy Ltd 20,Santos Port,Singapore Port,7277,18
