Scenario ID,Route,Shipping Cost,Insurance Cost,Fuel Cost,Total Cost
130,Bab-el-Mandeb,1224.17,301.34,589.78,2115.29
131,Strait of Hormuz,805.19,181.72,471.65,1458.56
132,Jebel Ali Route,1156.35,160.84,552.35,1869.54
133,Bab-el-Mandeb,1081.31,96.08,469.46,1646.85
134,Bab-el-Mandeb,1261.75,228.31,534.18,2024.23
135,Strait of Hormuz,1028.71,75.76,432.52,1536.99
136,Arabian Sea Route,1210.38,113.9,430.64,1754.92
137,Suez Canal,1431.15,131.64,541.37,2104.15
138,Persian Gulf,1457.46,287.04,743.13,2487.63
139,Global Routes,1294.1,94.68,662.3,2051.08
140,Persian Gulf,805.16,173.78,364.29,1343.23
141,Transatlantic Route,968.34,140.94,429.41,1538.69
142,Pipeline Networks,1175.16,206.49,575.8,1957.45
143,Global Routes,730.4,114.1,382.52,1227.02
144,Transatlantic Route,1256.32,237.84,725.17,2219.33
145,Jebel Ali Route,1248.45,202.71,626.0,2077.17
146,Pipeline Networks,1396.83,242.82,764.68,2404.33
147,North Sea Route,1064.33,170.71,396.52,1631.56
148,Strait of Hormuz,696.4,169.61,346.34,1212.34
149,Global Routes,890.15,210.6,423.67,1524.43
150,Global Routes,836.52,168.86,429.8,1435.18
151,Global Routes,370.42,53.44,163.64,587.5
152,Jebel Ali Route,629.51,96.6,266.87,992.99
153,Suez Canal,379.08,50.22,121.94,551.25
154,Bab-el-Mandeb,906.1,200.0,468.98,1575.09
155,Pipeline Networks,604.55,40.76,218.03,863.34
156,Jebel Ali Route,863.69,78.95,400.05,1342.69
157,Indian Ocean Route,424.24,93.24,177.83,695.31
158,Arabian Sea Route,443.77,94.29,178.77,716.83
159,Bab-el-Mandeb,256.08,42.02,121.5,419.6
160,Strait of Hormuz,1100.57,107.9,476.69,1685.17
161,Bab-el-Mandeb,495.32,32.79,278.85,806.95
162,Suez Canal,1120.42,123.57,537.59,1781.58
163,Global Routes,381.77,87.06,127.69,596.52
164,Bab-el-Mandeb,105.37,15.85,50.05,171.27
165,Strait of Hormuz,910.55,55.45,358.95,1324.96
166,Suez Canal,798.88,74.55,448.8,1322.23
167,Persian Gulf,221.95,32.73,112.62,367.31
168,Global Routes,466.45,81.56,256.0,804.01
169,Global Routes,366.47,85.55,170.8,622.82
170,Global Routes,518.92,70.66,204.28,793.87
171,Arabian Sea Route,1115.16,233.36,613.2,1961.72
172,Transatlantic Route,1480.08,308.24,711.05,2499.36
173,Persian Gulf,574.91,91.36,179.56,845.83
174,Persian Gulf,1142.76,159.06,349.69,1651.51
175,Pipeline Networks,187.51,23.91,89.07,300.49
176,North Sea Route,749.89,130.36,333.02,1213.26
177,Bab-el-Mandeb,1026.39,96.3,342.66,1465.35
178,Global Routes,935.01,137.39,288.04,1360.43
179,Strait of Hormuz,632.67,45.06,290.66,968.39
180,Malacca Strait,654.09,112.92,354.31,1121.31
181,North Sea Route,519.54,125.95,239.35,884.83
182,Malacca Strait,965.61,179.73,482.82,1628.16
183,Global Routes,815.36,110.69,257.76,1183.81
184,Suez Canal,130.92,15.92,52.38,199.22
185,Global Routes,642.77,49.93,335.17,1027.87
186,Global Routes,1299.75,309.01,581.91,2190.67
187,North Sea Route,1081.21,239.07,460.04,1780.32
188,Arabian Sea Route,533.18,126.55,242.44,902.16
189,North Sea Route,796.16,68.22,264.68,1129.05
190,Malacca Strait,1278.95,221.04,508.7,2008.69
191,North Sea Route,368.43,59.35,175.07,602.85
192,Global Routes,389.79,85.86,126.79,602.45
193,Arabian Sea Route,598.53,111.37,228.78,938.68
194,Bab-el-Mandeb,1258.75,249.2,675.58,2183.52
195,Indian Ocean Route,266.75,20.84,102.95,390.53
196,Pipeline Networks,825.31,164.73,454.71,1444.75
197,North Sea Route,1086.07,256.01,566.52,1908.6
198,Persian Gulf,528.78,54.47,269.07,852.32
199,North Sea Route,370.02,25.36,170.09,565.47
200,Global Routes,1250.3,87.87,672.12,2010.28
